"","tagname","longitude","latitude","datecollected","yearcollected","monthcollected","daycollected","julianday","timeofday","receiver_group"
"1","A69-9001-17766",-76.24168,34.52815,"2018-08-29 00:00:00",2018,8,29,241,0,"UNCST"
"2","A69-9001-17766",-75.75077,34.90012,"2022-02-19 10:50:51",2022,2,19,50,10.8475,"RSTSNCA"
"3","A69-9001-17766",-75.75077,34.90012,"2022-02-19 10:52:44",2022,2,19,50,10.8788888888889,"RSTSNCA"
"4","A69-9001-17766",-75.75077,34.90012,"2022-02-19 11:36:20",2022,2,19,50,11.6055555555556,"RSTSNCA"
"5","A69-9001-17766",-75.75077,34.90012,"2022-02-19 11:37:44",2022,2,19,50,11.6288888888889,"RSTSNCA"
"6","A69-9001-17766",-75.75077,34.90012,"2022-02-19 12:11:59",2022,2,19,50,12.1997222222222,"RSTSNCA"
"7","A69-9001-17766",-75.75077,34.90012,"2022-02-19 12:14:44",2022,2,19,50,12.2455555555556,"RSTSNCA"
"8","A69-9001-17766",-75.75077,34.90012,"2022-02-19 13:01:20",2022,2,19,50,13.0222222222222,"RSTSNCA"
"9","A69-9001-17766",-75.75077,34.90012,"2022-02-19 13:02:45",2022,2,19,50,13.0458333333333,"RSTSNCA"
"10","A69-9001-17766",-75.75077,34.90012,"2022-02-19 13:46:23",2022,2,19,50,13.7730555555556,"RSTSNCA"
"11","A69-9001-17766",-75.75077,34.90012,"2022-02-19 13:51:27",2022,2,19,50,13.8575,"RSTSNCA"
"12","A69-9001-17766",-75.75077,34.90012,"2022-02-19 13:53:02",2022,2,19,50,13.8838888888889,"RSTSNCA"
"13","A69-9001-17766",-75.75077,34.90012,"2022-02-19 13:56:14",2022,2,19,50,13.9372222222222,"RSTSNCA"
"14","A69-9001-17766",-75.75077,34.90012,"2022-02-19 13:57:20",2022,2,19,50,13.9555555555556,"RSTSNCA"
"15","A69-9001-17766",-75.75077,34.90012,"2022-02-19 13:58:26",2022,2,19,50,13.9738888888889,"RSTSNCA"
"16","A69-9001-17766",-75.75077,34.90012,"2022-02-19 14:00:47",2022,2,19,50,14.0130555555556,"RSTSNCA"
"17","A69-9001-17766",-75.75077,34.90012,"2022-02-19 14:02:06",2022,2,19,50,14.035,"RSTSNCA"
